Sub-Curriculum Title,Sub-Curriculum Parent ID,Curriculum ID,Curriculum Title,Curriculum Description,Item Type,Item ID,Revision Number,Item Title,Initial Period (Item),Initial Number (Item),Effective Date,Sub-Curriculum ID,,,Active,Date Created
,,CUR-LSG-BED-QC-0005,Basewashing QC (Bedford QC),"R&A of Glassware & Nalgene Container Cleaning with NaOH (BED7029) and BASEWASH AND RINSING GLASSWARE/EQUIPMENT FORM (8-0085-70-0395), as well as OJT. OJT includes creating base wash solution, washing applicable glassware with base, rinsing of applicable glassware, and the proper recording of all required information on the applicable form.",DOC,LSG-BED-8-0085-70-0395,D,8-0085-70-0395 GLASSWARE CLEANING & NAOH RINSE DATA SHEET (PPA MA Sites),Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0005,Basewashing QC (Bedford QC),"R&A of Glassware & Nalgene Container Cleaning with NaOH (BED7029) and BASEWASH AND RINSING GLASSWARE/EQUIPMENT FORM (8-0085-70-0395), as well as OJT. OJT includes creating base wash solution, washing applicable glassware with base, rinsing of applicable glassware, and the proper recording of all required information on the applicable form.",DOC,LSG-BED-BED7029,B2,BED7029 GLASSWARE & NALGENE CONTAINER CLEANING W/NaOH (PPA MA Sites),Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0006,BCA Coupled Protein Test (Bedford QC),"In this training the step for measuring the amount of protein immobilized on a coupled affinity resin with the Bicinchoninic Acid (BCA) assay are covered for the affinity resins- ClusterinClear, FcXP and AAV8/AAV9/AAVX using UV spectrophotometer.",DOC,LSG-BED-100028082,L,"100028082 FORM, BCA COUPLED PROTEIN TEST (PPA MA Campus)",Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0006,BCA Coupled Protein Test (Bedford QC),"In this training the step for measuring the amount of protein immobilized on a coupled affinity resin with the Bicinchoninic Acid (BCA) assay are covered for the affinity resins- ClusterinClear, FcXP and AAV8/AAV9/AAVX using UV spectrophotometer.",DOC,LSG-BED-100028081,K,"100028081 SOP, BCA COUPLED PROTEIN TEST (PPA MA Campus)",Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0006,BCA Coupled Protein Test (Bedford QC),"In this training the step for measuring the amount of protein immobilized on a coupled affinity resin with the Bicinchoninic Acid (BCA) assay are covered for the affinity resins- ClusterinClear, FcXP and AAV8/AAV9/AAVX using UV spectrophotometer.",OJT,LSG-BED-QC-OJT-0013,1,BCA Coupled Protein Test (Bedford and Chelmsford MA Sites),Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0007,BCA Coupled Protein Test for C1-inh (Bedford QC),In this training the step for measuring the amount of protein immobilized on a coupled affinity resin with the Bicinchoninic Acid (BCA) assay are covered for the affinity resin C1-inh using nanodrop,OJT,LSG-BED-QC-OJT-0014,1,BCA Coupled Protein Test for C1-inh (Bedford and Chelmsford MA Sites),Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0007,BCA Coupled Protein Test for C1-inh (Bedford QC),In this training the step for measuring the amount of protein immobilized on a coupled affinity resin with the Bicinchoninic Acid (BCA) assay are covered for the affinity resin C1-inh using nanodrop,DOC,LSG-BED-100028081,K,"100028081 SOP, BCA COUPLED PROTEIN TEST (PPA MA Campus)",Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0007,BCA Coupled Protein Test for C1-inh (Bedford QC),In this training the step for measuring the amount of protein immobilized on a coupled affinity resin with the Bicinchoninic Acid (BCA) assay are covered for the affinity resin C1-inh using nanodrop,DOC,LSG-BED-100028082,L,"100028082 FORM, BCA COUPLED PROTEIN TEST (PPA MA Campus)",Days,28,10-Apr-25,,,,Yes,10-Apr-25
POROS Nanodrop (Bedford QC),CUR-LSG-BED-QC-0007,CUR-LSG-BED-QC-0007,BCA Coupled Protein Test for C1-inh (Bedford QC),"Training should cover the micro-volume UV instrument operation, calibration and analysis of a wide variety of analytes, including POROS Affinity resin.",OJT,LSG-BED-QC-OJT-0090,1,POROS Nanodrop (Bedford and Chelmsford MA Sites),Days,28,10-Apr-25,CUR-LSG-BED-QC-0066,,,Yes,10-Apr-25
POROS Nanodrop (Bedford QC),CUR-LSG-BED-QC-0007,CUR-LSG-BED-QC-0007,BCA Coupled Protein Test for C1-inh (Bedford QC),"Training should cover the micro-volume UV instrument operation, calibration and analysis of a wide variety of analytes, including POROS Affinity resin.",DOC,LSG-BED-100038476,D,"100038476 PROC,NANODROP OPERATION & CALIBRATION (PPA MA Sites)",Days,28,10-Apr-25,CUR-LSG-BED-QC-0066,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0008,BDX % Solids (Bedford QC),Consists of running test triplicate for BDX Xterm,DOC,LSG-BED-4378618,C1,"4378618 PROC, WEIGHT % SOLIDS ANALYSIS (PPA MA Sites)",Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0008,BDX % Solids (Bedford QC),Consists of running test triplicate for BDX Xterm,OJT,LSG-BED-QC-OJT-0015,1,BDX % Solids (Bedford MA Site),Days,28,10-Apr-25,,,,Yes,10-Apr-25
LOSS ON DRYING - OHAUS Balance (Bedford QC),CUR-LSG-BED-QC-0008,CUR-LSG-BED-QC-0008,BDX % Solids (Bedford QC),"Training should cover the operation of the Ohaus Moisture MB balances for measurement of volatile contents, in POROS Resins. This includes navigation and recipe selection as well as testing procedures. This model is currently only used at Bedford location.",DOC,LSG-BED-BED3026,F,BED3026 LOSS ON DRYING - TEST & OPER OF OHAUS B (PPA MA Sites),Days,28,10-Apr-25,CUR-LSG-BED-QC-0031,,,Yes,10-Apr-25
LOSS ON DRYING - OHAUS Balance (Bedford QC),CUR-LSG-BED-QC-0008,CUR-LSG-BED-QC-0008,BDX % Solids (Bedford QC),"Training should cover the operation of the Ohaus Moisture MB balances for measurement of volatile contents, in POROS Resins. This includes navigation and recipe selection as well as testing procedures. This model is currently only used at Bedford location.",OJT,LSG-BED-QC-OJT-0047,1,LOSS ON DRYING - TEST & OPER OF OHAUS B (Bedford and Chelmsford MA Sites),Days,28,10-Apr-25,CUR-LSG-BED-QC-0031,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0009,BDX Functional Testing (Bedford QC),"Training includes R&A of PROC, TEST BD XTERMINATOR/SAM 3130XL GA and hands on OJT.  OJT will include an introduction to the 3130xl Genetic Analyzer/software including proper capillary array installation, polymer loading and spatial calibration.  Training also includes performance of the functional testing, data analysis and basic troubleshooting.  Great pipetting skills are required.  Please allow 6-9 months to become fully trained as Xterminator and SAM solution are manufactured less frequently.",OJT,LSG-BED-QC-OJT-0016,1,BDX Functional Testing (Bedford MA Site),Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0009,BDX Functional Testing (Bedford QC),"Training includes R&A of PROC, TEST BD XTERMINATOR/SAM 3130XL GA and hands on OJT.  OJT will include an introduction to the 3130xl Genetic Analyzer/software including proper capillary array installation, polymer loading and spatial calibration.  Training also includes performance of the functional testing, data analysis and basic troubleshooting.  Great pipetting skills are required.  Please allow 6-9 months to become fully trained as Xterminator and SAM solution are manufactured less frequently.",DOC,LSG-BED-100023644,E,"100023644 FORM, BDX/XT CALC SPREADSHEET (PPA MA Campus)",Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0009,BDX Functional Testing (Bedford QC),"Training includes R&A of PROC, TEST BD XTERMINATOR/SAM 3130XL GA and hands on OJT.  OJT will include an introduction to the 3130xl Genetic Analyzer/software including proper capillary array installation, polymer loading and spatial calibration.  Training also includes performance of the functional testing, data analysis and basic troubleshooting.  Great pipetting skills are required.  Please allow 6-9 months to become fully trained as Xterminator and SAM solution are manufactured less frequently.",DOC,LSG-BED-4378346,K,"4378346 PROC,TEST BD XTERMINATOR/SAM3130XL GA (PPA MA Sites)",Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0009,BDX Functional Testing (Bedford QC),"Training includes R&A of PROC, TEST BD XTERMINATOR/SAM 3130XL GA and hands on OJT.  OJT will include an introduction to the 3130xl Genetic Analyzer/software including proper capillary array installation, polymer loading and spatial calibration.  Training also includes performance of the functional testing, data analysis and basic troubleshooting.  Great pipetting skills are required.  Please allow 6-9 months to become fully trained as Xterminator and SAM solution are manufactured less frequently.",DOC,LSG-BED-4378616,F,"4378616 FORM,XTERMINATOR 3130XL FUNCT TEST DATA (PPA MA Sites)",Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0010,BDX Particle Size (Bedford QC),"Training includes R&A of PROC, S3500 PARTICLE SIZE ANALYSIS and hands on OJT.  OJT will include an introduction to the Microtrac S3500 particle size analyzer/software.  Training also includes proper instrument preparation/shut down, sample preparation, testing, data printout and basic data interpretation.  Please allow 6-9 months to become fully trained as Xterminator and SAM solution are manufactured less frequently.",OJT,LSG-BED-QC-OJT-0017,1,BDX Particle Size (Bedford MA Site),Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0010,BDX Particle Size (Bedford QC),"Training includes R&A of PROC, S3500 PARTICLE SIZE ANALYSIS and hands on OJT.  OJT will include an introduction to the Microtrac S3500 particle size analyzer/software.  Training also includes proper instrument preparation/shut down, sample preparation, testing, data printout and basic data interpretation.  Please allow 6-9 months to become fully trained as Xterminator and SAM solution are manufactured less frequently.",DOC,LSG-BED-4378617,F,"4378617 PROC, S3500 PARTICLE SIZE ANALYSIS (PPA MA Sites)",Days,28,6-Aug-25,,,,Yes,10-Apr-25
